BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL,BLOCK,LOT,EASE-MENT,BUILDING CLASS AS OF FINAL ROLL,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Census Tract 2020,NTA Code
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1368,,R4,"460 EAST 79TH STREET, 10D",10D,10075,1,,1,,,1960,2,R4,765000,02/10/2022,40.771786,-73.951387,108,5,132,1076320,1014737502,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1377,,R4,"460 EAST 79TH STREET, 11F",11F,10075,1,,1,,,1960,2,R4,915000,02/17/2022,40.771786,-73.951387,108,5,132,1076320,1014737502,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1394,,R4,"460 EAST 79TH STREET, 15B",15B,10075,1,,1,,,1960,2,R4,1925000,10/28/2022,40.771786,-73.951387,108,5,132,1076320,1014737502,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1602,,R4,"408 EAST 79TH STREET, 3A",3A,10075,1,,1,,,,2,R4,1825000,11/21/2022,40.772138,-73.952224,108,5,132,1046037,1014737504,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1609,,R4,"408 EAST 79TH STREET, 10A",10A,10075,1,,1,,,,2,R4,0,07/25/2022,40.772138,-73.952224,108,5,132,1046037,1014737504,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1610,,R4,"408 EAST 79TH STREET, 11A",11A,10075,1,,1,,,,2,R4,0,06/28/2022,40.772138,-73.952224,108,5,132,1046037,1014737504,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1619,,R4,"408 EAST 79TH STREET, B(M)",B(M),10075,1,,1,,,,2,R4,0,01/25/2022,40.772138,-73.952224,108,5,132,1046037,1014737504,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1473,1632,,R4,"408 EAST 79TH STREET, 16B",16B,10075,1,,1,,,,2,R4,1438968,12/26/2022,40.772138,-73.952224,108,5,132,1046037,1014737504,,13203,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1012,,R4,"524 EAST 72ND STREET, 23E",23E,10021,1,,1,,,1989,2,R4,815000,11/17/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1017,,R4,"524 EAST 72ND STREET, 24C",24C,10021,1,,1,,,1989,2,R4,1440000,04/01/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1024,,R4,"524 EAST 72ND STREET, 25B",25B,10021,1,,1,,,1989,2,R4,1300000,09/15/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1028,,R4,"524 EAST 72ND STREET, 25F",25F,10021,1,,1,,,1989,2,R4,0,04/20/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1028,,R4,"524 EAST 72ND STREET, 25F",25F,10021,1,,1,,,1989,2,R4,0,12/28/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1054,,R4,"524 EAST 72ND STREET, 29D",29D,10021,1,,1,,,1989,2,R4,2275000,03/10/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1055,,R4,"524 EAST 72ND STREET, 29E",29E,10021,1,,1,,,1989,2,R4,2275000,03/10/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1105,,R4,"524 EAST 72ND STREET, 39D",39D,10021,1,,1,,,1989,2,R4,0,10/21/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1106,,R4,"524 EAST 72ND STREET, 39E",39E,10021,1,,1,,,1989,2,R4,0,10/21/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1119,,R4,"524 EAST 72ND STREET, 42C",42C,10021,1,,1,,,1989,2,R4,2100000,02/09/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1128,,R4,"524 EAST 72ND STREET, 44C",44C,10021,1,,1,,,1989,2,R4,1900000,04/08/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1483,1129,,R4,"524 EAST 72ND STREET, 44D",44D,10021,1,,1,,,1989,2,R4,2450000,02/01/2022,40.766325,-73.952524,108,5,124,1072695,1014837501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1045,,R4,"515 EAST 72ND ST, 5F",5F,10021,1,,1,,,1985,2,R4,945000,01/31/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1062,,R4,"515 EAST 72ND STREET, 6H",6H,10021,1,,1,,,1985,2,R4,890000,06/29/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1065,,R4,"515 EAST 72ND STREET, 6L",6L,10021,1,,1,,,1985,2,R4,1575000,09/19/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1109,,R4,"515 EAST 72ND STREET, 10C",10C,10021,1,,1,,,1985,2,R4,1119500,07/08/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1171,,R4,"515 EAST 72ND STREET, 16F",16F,10021,1,,1,,,1985,2,R4,2199000,07/15/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1174,,R4,"515 EAST 72ND STREET, 16J",16J,10021,1,,1,,,1985,2,R4,975000,02/08/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1206,,R4,"515 EAST 72ND STREET, 19H",19H,10021,1,,1,,,1985,2,R4,0,07/11/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1207,,R4,"515 EAST 72ND STREET, 19J",19J,10021,1,,1,,,1985,2,R4,0,07/11/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1233,,R4,"515 EAST 72ND STREET, 22E",22E,10021,1,,1,,,1985,2,R4,2650000,08/03/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1239,,R4,"515 EAST 72ND STREET, 23A",23A,10021,1,,1,,,1985,2,R4,999000,04/27/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1262,,R4,"515 EAST 72ND STREET, 25F",25F,10021,1,,1,,,1985,2,R4,2270000,04/07/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1309,,R4,"515 EAST 72ND STREET, 30H",30H,10021,1,,1,,,1985,2,R4,1895000,01/20/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1330,,R4,"515 EAST 72ND STREET, 34C",34C,10021,1,,1,,,1985,2,R4,0,09/07/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1484,1335,,R4,"515 EAST 72ND STREET, 35C",35C,10021,1,,1,,,1985,2,R4,1800000,12/19/2022,40.766492,-73.952871,108,5,124,1046261,1014847501,,124,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1003,,R4,"1420 YORK AVENUE, 2A",2A,10021,1,,1,,,1956,2,R4,15000,11/29/2022,40.769064,-73.952122,108,5,132,1046310,1014877501,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1026,,R4,"1420 YORK AVENUE, 3H",3H,10021,1,,1,,,1956,2,R4,0,04/27/2022,40.769064,-73.952122,108,5,132,1046310,1014877501,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1048,,R4,"1420 YORK AVENUE, 4P",4P,10021,1,,1,,,1956,2,R4,425000,12/12/2022,40.769064,-73.952122,108,5,132,1046310,1014877501,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1081,,R4,"1420 YORK AVENUE, 6R",6R,10021,1,,1,,,1956,2,R4,440000,12/22/2022,40.769064,-73.952122,108,5,132,1046310,1014877501,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1093,,R4,"1420 YORK AVENUE, 7M",7M,10021,1,,1,,,1956,2,R4,498000,07/12/2022,40.769064,-73.952122,108,5,132,1046310,1014877501,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1202,,R4,"530 EAST 76TH STREET, 6J",6J,10021,1,,1,,,1986,2,R4,999500,05/20/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1204,,R4,"530 E 76 ST, 7B",7B,10021,1,,1,,,1986,2,R4,999995,12/09/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1208,,R4,"530 EAST 76TH STREET, 7G",7G,10021,1,,1,,,1986,2,R4,1430000,01/05/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1281,,R4,"530 EAST 76TH STREET, 16D",16D,10021,1,,1,,,1986,2,R4,999999,09/08/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1288,,R4,"530 EAST 76TH STREET, 17A",17A,10021,1,,1,,,1986,2,R4,910000,07/14/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1487,1289,,R4,"530 EAST 76TH STREET, 17B",17B,10021,1,,1,,,1986,2,R4,1100000,10/17/2022,40.769077,-73.95101,108,5,132,1072696,1014877502,,13201,MN0801
