"","borough","neighborhood","building_class_category","tax_class","block","lot","easement","building_class","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_sqft","gross_sqft","year_built","tax_class_at_sale","building_class_at_sale","sale_price","sale_date","year_of_sale","Borough","CD","CT2010","CB2010","SchoolDist","Council","ZipCode","FireComp","PolicePrct","HealthCent","HealthArea","SanitBoro","SanitDistr","SanitSub","Address","ZoneDist1","ZoneDist2","ZoneDist3","ZoneDist4","Overlay1","Overlay2","SPDist1","SPDist2","SPDist3","LtdHeight","SplitZone","BldgClass","LandUse","Easements","OwnerType","OwnerName","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","AreaSource","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","Ext","ProxCode","IrrLotCode","LotType","BsmtCode","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","HistDist","Landmark","BuiltFAR","ResidFAR","CommFAR","FacilFAR","BoroCode","BBL","CondoNo","Tract2010","XCoord","YCoord","ZoneMap","ZMCode","Sanborn","TaxMap","EDesigNum","APPBBL","APPDate","PLUTOMapID","FIRM07_FLA","PFIRM15_FL","Version","MAPPLUTO_F","SHAPE_Leng","SHAPE_Area"
"1",3,"DOWNTOWN-METROTECH","28  COMMERCIAL CONDOS","4",140,1001,"","R5","330 JAY STREET","COURT",11201,0,1,1,0,0,2002,4,"R5",499401179,2008-04-23,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,"DOWNTOWN-FULTON FERRY","29  COMMERCIAL GARAGES","4",54,1,"","G7","85 JAY STREET","",11201,0,0,0,134988,0,0,4,"G7",3.45e+08,2016-12-20,2016,"BK",302,"21","3017","13",33,11201,"L118",84,36,1000,"3","02","1B","87 JAY STREET","M1-2/R8",NA,NA,NA,NA,NA,"MX-2",NA,NA,NA,"N","G7","10",0,"P","85 JAY STREET BROOKLY",134988,0,0,0,0,0,0,0,0,0,"7",0,0,0,0,490.5,275.33,0,0,NA,"0","N","5","5",1571850,1571850,1571850,1571850,0,0,0,NA,NA,0,7.2,2,6.5,3,3000540001,0,"0021",988208,195011,"12d",NA,"302 016","30101",NA,3000540001,"12/06/2002","1",NA,NA,"17V1.1",0,1559.88914353,140131.577176
"3",3,"BROOKLYN HEIGHTS","21  OFFICE BUILDINGS","4",204,1,"","O6","29 COLUMBIA HEIGHTS","",11201,0,0,0,32000,304650,1924,4,"O6",3.4e+08,2016-08-03,2016,"BK",302,"1","1003","13",33,11201,"E205",84,38,2300,"3","02","1A","29 COLUMBIA HEIGHTS","M2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","O6","05",0,NA,"25-30 COLUMBIA HEIGHT",32000,304650,304650,0,264750,0,0,0,0,39900,"2",1,13,0,0,92.42,335.92,335,92,NA,"0","Y","3","5",1548000,25463250,0,0,1924,1980,0,NA,NA,9.52,0,2,0,3,3002040001,0,"0001",985952,195007,"12d",NA,"302 004","30106",NA,0,NA,"1",NA,NA,"17V1.1",0,890.718521021,34656.4472405
"4",3,"MILL BASIN","22  STORE BUILDINGS","4",8470,55,"","K6","5120 AVENUE U","",11234,0,123,123,905000,2548000,1970,4,"K6",276947000,2012-11-28,2012,"BK",318,"698","2005","22",46,11234,"E323",63,35,8822,"3","18","4E","5120 AVENUE U","M3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","K6","05",1,NA,"BROOKLYN KINGS PLAZA",905000,2548000,2548000,0,0,1263000,1285000,0,0,0,"2",4,2,0,123,930,859,0,0,NA,"0","Y","3","5",36532350,149792400,0,0,1970,0,0,NA,NA,2.82,0,2,0,3,3084700055,0,"0698",1006597,161424,"23b",NA,"319 077","32502",NA,0,NA,"1","1","1","17V1.1",0,3729.78685686,797554.847834
"5",3,"BROOKLYN HEIGHTS","26 OTHER HOTELS","4",230,1,"","H8","21 CLARK STREET","",11201,0,1,1,20267,356000,1927,4,"H8",202500000,2017-10-31,2017,"BK",302,"3.01","2000","13",33,11201,"E205",84,38,2300,"3","02","1A","79 WILLOW STREET","R6",NA,NA,NA,NA,NA,NA,NA,NA,"LH-1","N","H8","08",0,"X","WATCHTOWER C/O REAL P",20267,356000,30000,0,30000,0,0,0,0,0,"2",1,15,0,1,202,100.33,202,100.33,NA,"0","N","3","2",2250000,27166050,2250000,27166050,1927,1998,2000,"Brooklyn Heights Historic District",NA,17.57,2.43,0,4.8,3,3002300001,0,"000301",985622,193713,"12d",NA,"302 014","30106",NA,0,NA,"1",NA,NA,"17V1.1",0,620.761169374,21360.1476315
"6",3,"WILLIAMSBURG-SOUTH","31  COMMERCIAL VACANT LAND","4",2428,1,"","V1","329 KENT AVENUE","",11249,0,0,0,57600,0,0,4,"V1",185445000,2012-10-11,2012,"BK",301,"551","1009","14",33,11249,"E221",90,30,400,"3","01","2B","325 KENT AVENUE","R6",NA,NA,NA,"C2-4",NA,NA,NA,NA,NA,"N","D7","04",0,NA,"325 KENT LLC",57600,382746,11200,371546,1822,9378,0,0,0,0,"2",1,0,522,525,180,320,179,315,NA,"0","N","3","5",3110400,5579990,0,0,2015,0,0,NA,NA,6.64,2.43,0,4.8,3,3024280001,0,"0551",993500,199202,"12d",NA,"303 007","30806","E-337",0,NA,"1",NA,NA,"17V1.1",0,1006.33799946,58564.8643115
"7",3,"BROOKLYN HEIGHTS","21 OFFICE BUILDINGS","4",250,44,"","O4","16 COURT STREET","",11241,0,102,102,12500,290440,1928,4,"O4",1.71e+08,2017-10-10,2017,"BK",302,"9","1001","13",33,11241,"E205",84,38,2300,"3","02","1B","16 COURT STREET","C5-2A",NA,NA,NA,NA,NA,"DB",NA,NA,NA,"N","O4","05",0,"P","16 COURT STREET OWNER",12500,290440,290440,0,274500,15940,0,0,0,0,"2",1,37,0,102,100,125,92,125,NA,"0","Y","3","2",2448000,28309500,0,11304900,1928,2009,0,"Borough Hall Skyscraper Historic Distric",NA,23.24,10,10,10,3,3002500044,0,"0009",986784,191977,"12d",NA,"302 018","30107",NA,0,NA,"1",NA,NA,"17V1.1",0,460.031680123,12947.145471
"8",3,"WILLIAMSBURG-NORTH","08  RENTALS - ELEVATOR APARTMENTS","2",2307,1,"","D8","250 N 10 STREET","",11211,234,3,237,50173,241764,2012,2,"D8",1.69e+08,2015-05-01,2015,"BK",301,"519","1006","14",33,11211,"E229",94,30,700,"3","01","3B","236 NORTH 10 STREET","M1-2/R6A",NA,NA,NA,NA,NA,"MX-8",NA,NA,NA,"N","D8","03",0,"P","BRKLYN NY 250 N 10TH",50173,241764,27900,213864,4200,0,22200,1500,0,0,"2",1,6,234,237,521.25,200,500,100,NA,"1","N","1","2",1354500,23965650,932847,23543997,2012,2012,0,NA,NA,4.82,3,2,3,3,3023070001,0,"0519",997307,200618,"13a",NA,"304 018","30804","E-138",3023070001,"10/08/2013","1","1",NA,"17V1.1",0,1385.27352839,50772.6248688
"9",3,"WILLIAMSBURG-SOUTH","29  COMMERCIAL GARAGES","4",2128,5,"","G7","418 KENT AVENUE","",11249,0,0,0,44704,0,0,4,"G7",1.65e+08,2015-02-04,2015,"BK",301,"549","2006","14",33,11249,"E221",90,30,500,"3","01","4A","418 KENT AVENUE","R7-3","C4-3",NA,NA,"C2-4",NA,NA,NA,NA,NA,"Y","D1","03",0,NA,"420 KENT AVENUE LLC",44704,463427,4884,458543,0,4884,0,0,0,0,"2",2,20,470,472,225.08,281.86,0,0,NA,"0","Y","5","5",1699200,3534300,0,0,2016,0,0,NA,NA,10.37,5,0,5,3,3021280005,0,"0549",992807,198027,"12d",NA,"303 006","30801","R-47",3021280005,"10/29/2014","1","1","1","17V1.1",0,992.915660585,47019.5677861
"10",3,"NAVY YARD","30  WAREHOUSES","4",1876,1,"","E9","9-47 HALL ST","",11205,0,1,1,113800,547000,1912,4,"E9",1.61e+08,2016-03-04,2016,"BK",302,"543","2003","14",35,11205,"L119",88,36,9300,"3","02","4E","39 HALL STREET","M1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","E9","06",0,"P","RXR 9-47 HALL STREET",113800,547000,547000,0,0,0,0,0,547000,0,"2",13,8,0,1,569,204,304,80.92,NA,"0","Y","3","5",1282500,11295000,0,0,1912,0,0,NA,NA,4.81,0,2,4.8,3,3018760001,0,"0543",993650,193137,"12d",NA,"302 049","30701",NA,0,NA,"1",NA,NA,"17V1.1",0,1565.91477261,118754.785737
